200000: 0.154
300000: 0.137
400000: 0.187
500000: 0.236
600000: 0.284
700000: 0.336
800000: 0.391
900000: 0.448
1000000: 0.498
1100000: 0.537
1200000: 0.591
1300000: 0.653
1400000: 0.687
1500000: 0.741
1600000: 0.784
1700000: 0.852
1800000: 0.893
1900000: 0.969
2000000: 1.007
